Question Title,Question Ref. ID,Question Text,Calculated Average,Calculated Std.,Option 0 Label,Option 0 selections,Option 1 Label,Option 1 selections,Option 2 Label,Option 2 selections,Option 3 Label,Option 3 selections,Option 4 Label,Option 4 selections,Option 5 Label,Option 5 selections,Option 6 Label,Option 6 selections,Option 7 Label,Option 7 selections,Option 8 Label,Option 8 selections,Option 9 Label,Option 9 selections
Q1,54,Rate your professor's presentation of lectures in terms of organization and clarity.,4.552238805970149,0.775497535106417,(A) Organized,48,(B),14,(C),5,(D),0,(E) Disorganized,0
Q2,55,How would you rate the professor's response to questions?,4.3283582089552235,1.0509816436059878,(A) Clear,44,(B),12,(C),9,(D),2,(E) Vague,0
Q3,56,"Rate your professor's oral presentation in terms of audibility, articulation, and your ability to understand his/her English.",4.552238805970149,0.71182824983219,(A) Excellent,46,(B),18,(C),3,(D),0,(E) Unacceptable,0
Q4,57,"Rate your professor's visual presentation. Consider organization, legibility and effective use of materials (blackboard, electronic media, etc.).",4.458955223880597,0.7912842157442127,(A) Excellent,43,(B),19,(C),5,(D),0,(E) Unacceptable,0
Q5,58,Describe the availability and approachability of your professor outside of class compared to other courses you've taken at university. (Do not answer if you did not seek help.).,4.35,0.9529760045804525,(A) Volunteering assistance with pleasure,30,(B),16,(C),2,(D),2,(E) Discouraging out-of-class contact,0
Q6,59,"At what level were the professor's explanations usually directed, in relation to your general level of understanding? *Note that (C) is the best rating",3.9365671641791047,1.4310830315351706,(A) Far too high,6,(B),17,(C),42,(D),1,(E) Far too low	,1
Q7,60,"Were students encouraged by the professor to think and reason logically and objectively on their own, about the subject matter? ",3.7313432835820897,1.0986505435007574,(A) A great deal,20,(B),30,(C),14,(D),2,(E) Not at all,1
Q8,61,What was your impression of your professor's attitude towards teaching the course?,4.477611940298507,0.8185021233423133,(A) Obviously enthusiastic & responsible,45,(B),16,(C),6,(D),0,(E) Views teaching as an imposition,0
Q9,62,Describe your professor-class relationship?,4.16044776119403,1.0063261005830109,(A) Friendly & open,35,(B),20,(C),11,(D),1,(E) Mutual dislike,0
Q10,63,What is your overall appraisal of the quality of teaching in this course?,3.955223880597015,1.1837963561163762,(A) Very high,31,(B),20,(C),13,(D),2,(E) Very Low	,1
Q11,65,Rate the difficulty of the concepts covered by this course. *Note that (C) is the best rating,3.4038461538461537,1.5069450598683214,(A) Very Easy,4,(B),9,(C),29,(D),16,(E) Very Difficult,7
Q12,66,Rate the workload required to complete this course. *Note that (C) is the best rating,3.6742424242424243,1.5171897712101818,(A) Very little,5,(B),8,(C),36,(D),12,(E) Very heavy,5
Q13,67,How useful was the textbook (or reading materials) for understanding of the concepts?,3.7109375,1.4080400864040181,(A) Very useful,28,(B),15,(C),14,(D),5,(E) Totally useless,2
Q14,68,To what extent did the assignments contribute to your better understanding of the concepts.,4.036885245901639,1.0799653404679346,(A) Very useful,29,(B),19,(C),11,(D),2,(E) Totally useless,0
Q15,69,How well did the tests reflect the course material?,4.048507462686567,1.1114408526245827,(A) Very closely,32,(B),23,(C),8,(D),4,(E) Not at all,0
Q16,70,How valuable do you feel tutorials are (or would be) in the instruction of this course?,3.5384615384615383,1.571369059499978,(A) Very valuable,26,(B),18,(C),9,(D),8,(E) Not valuable at all,4
Q17,71,What is your overall appraisal of this course?,3.7313432835820897,1.2779551558528466,(A) Excellent,25,(B),23,(C),14,(D),3,(E) Poor,2
Q18,72,How many classes did you attend?,4.645522388059701,0.8650946411390744,(A) All classes attended,55,(B),7,(C),3,(D),2,(E) No classes attended,0
Metrics
Metric Title,Metric Description,Metric Value,Metric Calculation
