Question Title,Question Ref. ID,Question Text,Calculated Average,Calculated Std.,Option 0 Label,Option 0 selections,Option 1 Label,Option 1 selections,Option 2 Label,Option 2 selections,Option 3 Label,Option 3 selections,Option 4 Label,Option 4 selections,Option 5 Label,Option 5 selections,Option 6 Label,Option 6 selections,Option 7 Label,Option 7 selections,Option 8 Label,Option 8 selections,Option 9 Label,Option 9 selections
Q1,54,Rate your professor's presentation of lectures in terms of organization and clarity.,4.2450495049504955,1.0167227977795874,(A) Organized,57,(B),30,(C),12,(D),1,(E) Disorganized,1
Q2,55,How would you rate the professor's response to questions?,4.26980198019802,0.8152324578891844,(A) Clear,50,(B),44,(C),6,(D),1,(E) Vague,0
Q3,56,"Rate your professor's oral presentation in terms of audibility, articulation, and your ability to understand his/her English.",4.492574257425742,0.7741571590644197,(A) Excellent,67,(B),27,(C),7,(D),0,(E) Unacceptable,0
Q4,57,"Rate your professor's visual presentation. Consider organization, legibility and effective use of materials (blackboard, electronic media, etc.).",4.430693069306931,0.857408021219469,(A) Excellent,64,(B),30,(C),5,(D),2,(E) Unacceptable,0
Q5,58,Describe the availability and approachability of your professor outside of class compared to other courses you've taken at university. (Do not answer if you did not seek help.).,4.115384615384615,0.9302605094190634,(A) Volunteering assistance with pleasure,29,(B),27,(C),8,(D),1,(E) Discouraging out-of-class contact,0
Q6,59,"At what level were the professor's explanations usually directed, in relation to your general level of understanding? *Note that (C) is the best rating",3.4625,1.3859754796903998,(A) Far too high,9,(B),41,(C),43,(D),7,(E) Far too low	,0
Q7,60,"Were students encouraged by the professor to think and reason logically and objectively on their own, about the subject matter? ",3.8875,1.0791732479031806,(A) A great deal,39,(B),37,(C),20,(D),4,(E) Not at all,0
Q8,61,What was your impression of your professor's attitude towards teaching the course?,4.22029702970297,0.8450496499561949,(A) Obviously enthusiastic & responsible,48,(B),44,(C),8,(D),1,(E) Views teaching as an imposition,0
Q9,62,Describe your professor-class relationship?,4.35,0.7841549527351018,(A) Friendly & open,55,(B),38,(C),7,(D),0,(E) Mutual dislike,0
Q10,63,What is your overall appraisal of the quality of teaching in this course?,3.8613861386138613,0.9535953331502524,(A) Very high,32,(B),48,(C),19,(D),2,(E) Very Low	,0
Q11,65,Rate the difficulty of the concepts covered by this course. *Note that (C) is the best rating,2.4875,1.1983653639247709,(A) Very Easy,0,(B),3,(C),15,(D),51,(E) Very Difficult,31
Q12,66,Rate the workload required to complete this course. *Note that (C) is the best rating,2.9455445544554455,1.4316092171032744,(A) Very little,0,(B),2,(C),30,(D),45,(E) Very heavy,24
Q13,67,How useful was the textbook (or reading materials) for understanding of the concepts?,2.197802197802198,1.4594122121196624,(A) Very useful,5,(B),23,(C),23,(D),25,(E) Totally useless,15
Q14,68,To what extent did the assignments contribute to your better understanding of the concepts.,4.381188118811881,0.877207258438635,(A) Very useful,61,(B),32,(C),6,(D),2,(E) Totally useless,0
Q15,69,How well did the tests reflect the course material?,4.084158415841584,0.9982968169104147,(A) Very closely,46,(B),39,(C),13,(D),3,(E) Not at all,0
Q16,70,How valuable do you feel tutorials are (or would be) in the instruction of this course?,2.5866336633663365,1.6513008673332206,(A) Very valuable,19,(B),19,(C),28,(D),20,(E) Not valuable at all,15
Q17,71,What is your overall appraisal of this course?,3.6881188118811883,1.0364639046983617,(A) Excellent,24,(B),54,(C),19,(D),2,(E) Poor,2
Q18,72,How many classes did you attend?,4.876237623762377,0.4842826684595445,(A) All classes attended,93,(B),7,(C),0,(D),1,(E) No classes attended,0
Metrics
Metric Title,Metric Description,Metric Value,Metric Calculation
